0,1,1
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,0
0,1,1
0,0,1
0,1,0
0,1,1
0,1,0
0,1,1
0,0,1
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,1
0,0,0
0,0,1
0,1,0
0,1,0
0,0,0
0,1,0
0,0,1
0,0,0
0,1,1
0,1,1
1,2,1
0,1,0
0,0,0
0,0,1
0,1,0
0,2,0
0,2,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,1,2
0,0,0
0,1,1
0,1,1
0,0,0
0,2,0
0,1,0
0,1,1
0,1,1
0,1,0
0,1,1
0,1,1
0,0,2
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,1,1
0,1,0
0,0,1
0,1,1
0,2,0
0,3,0
0,2,0
1,1,1
0,2,0
1,3,0
0,2,0
0,3,0
0,1,0
0,6,1
0,11,0
0,8,0
0,2,0
0,7,2
0,5,1
0,1,0
0,1,1
0,1,0
0,2,0
0,2,0
0,2,0
0,0,1
0,2,0
0,1,0
0,1,1
0,1,0
0,0,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,1
1,1,0
0,1,1
0,0,1
0,1,0
0,2,1
0,1,1
0,1,1
0,1,0
0,1,0
0,0,1
0,1,1
0,1,1
0,0,0
1,1,1
0,0,0
0,0,1
0,1,1
0,1,0
0,0,1
0,1,1
0,1,1
0,1,0
0,2,0
0,2,0
0,1,0
0,0,1
0,1,1
0,0,1
0,1,0
0,0,1
0,1,1
0,2,0
0,1,1
0,0,1
0,2,0
0,1,0
0,0,4
0,1,3
0,0,5
0,2,5
0,1,4
0,0,5
0,0,4
1,1,4
0,2,4
0,1,2
0,1,1
0,1,2
0,1,1
0,1,0
0,0,0
0,1,0
0,1,0
0,1,1
0,0,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,1
0,0,0
0,1,1
0,1,1
0,1,0
0,1,0
1,1,1
0,0,1
0,0,1
0,0,0
0,0,0
0,1,0
0,1,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,0,1
0,0,0
0,1,1
0,1,0
0,1,1
0,2,0
0,2,1
0,1,0
0,1,0
0,1,1
0,1,1
0,0,0
0,1,0
0,1,0
0,0,0
0,0,1
0,1,1
0,1,0
0,0,1
0,1,0
0,0,0
0,0,0
0,1,1
0,1,0
0,1,0
0,0,1
0,1,0
0,2,0
0,1,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,0
0,0,0
0,0,1
0,0,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,1,0
0,0,2
0,1,1
1,1,1
0,1,1
0,2,0
0,1,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,2,0
0,1,1
0,0,1
0,1,1
0,0,0
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,2,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,1,1
0,1,1
0,1,0
0,1,0
1,0,1
1,0,1
0,0,1
1,1,0
0,1,0
0,1,0
1,0,0
1,0,0
0,1,0
0,0,1
0,0,0
1,0,1
1,0,1
1,1,1
3,1,0
2,1,0
2,0,0
1,0,0
1,0,1
0,1,0
2,1,0
2,0,0
5,1,1
0,0,0
2,0,1
4,0,0
1,1,0
2,2,0
1,0,1
2,1,0
2,2,0
1,1,1
3,2,0
1,1,0
3,1,0
4,2,1
3,0,1
3,2,0
6,1,0
6,2,0
6,2,0
5,1,0
2,1,0
3,1,0
3,1,0
12,1,0
12,1,1
14,0,0
9,1,1
11,2,1
3,1,0
1,1,1
4,1,0
1,0,0
0,0,0
1,0,1
1,0,1
1,1,1
1,1,0
1,1,0
1,0,0
0,1,0
1,0,0
0,0,0
1,0,1
1,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,1,1
0,0,1
0,1,1
0,1,1
0,0,1
0,1,1
1,1,1
0,0,1
0,0,1
0,1,0
0,1,1
0,0,0
0,0,1
0,0,1
1,0,1
1,1,0
0,1,0
0,0,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,1
0,2,1
0,0,2
0,1,1
0,1,1
0,0,0
0,1,2
0,0,0
0,1,0
0,0,1
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
1,0,1
0,0,1
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,1
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
0,1,1
0,1,0
0,0,1
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,1
0,1,0
0,2,0
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,0
0,2,0
0,1,1
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,2,1
0,2,1
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,1,0
0,1,0
0,0,0
0,1,1
0,1,0
0,1,0
0,0,1
0,2,1
0,1,1
0,1,0
0,3,1
0,2,0
0,3,0
0,2,0
0,0,0
0,2,0
0,2,0
0,2,1
0,2,0
0,3,0
0,1,1
0,1,0
0,2,0
0,1,0
1,1,0
0,3,0
0,2,0
0,0,0
0,2,0
0,4,0
0,5,0
0,2,1
0,0,0
0,2,1
0,4,1
0,2,1
0,3,0
0,3,1
0,5,0
0,9,1
0,4,1
1,6,1
0,2,1
0,10,0
0,17,1
0,12,0
0,6,1
0,10,0
0,8,1
0,4,0
0,1,0
0,2,0
0,3,0
0,2,0
0,0,0
0,2,0
0,1,0
0,1,0
1,1,1
0,1,0
0,0,1
0,0,0
0,0,3
0,1,3
0,3,2
0,4,6
0,3,7
1,0,8
0,2,4
0,2,1
0,1,3
0,2,2
0,1,1
0,1,2
0,3,1
0,2,3
0,1,2
0,0,3
0,0,2
0,0,2
0,2,3
0,2,3
0,0,3
0,2,3
0,2,3
0,1,4
0,0,4
0,1,4
0,1,5
0,1,8
0,1,6
0,1,9
0,0,4
0,0,21
1,0,17
0,1,30
0,1,13
0,0,25
0,0,14
0,1,19
0,0,19
0,0,9
0,0,5
0,0,4
0,0,3
0,1,3
0,1,2
0,1,2
0,0,0
0,1,2
0,1,1
0,0,2
0,0,1
0,0,2
0,0,2
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,1,1
0,0,2
0,0,1
0,1,1
0,0,1
0,0,1
0,0,2
0,0,0
0,0,0
0,0,0
0,0,1
0,0,2
0,0,2
0,1,2
0,2,1
0,2,0
0,0,0
0,1,0
0,1,0
0,0,1
0,1,0
0,0,0
0,0,1
0,0,1
0,0,1
0,1,0
0,1,0
0,1,1
0,1,1
0,0,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,0
0,1,0
0,0,1
0,1,1
0,1,1
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,1
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,1,1
0,1,0
0,0,0
0,2,1
0,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,1
1,1,1
1,1,1
0,1,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,0
0,1,1
1,1,1
0,0,0
0,1,1
0,1,1
0,1,0
0,1,1
0,1,2
0,1,1
0,0,0
0,0,1
0,1,1
0,2,0
0,1,0
0,1,1
0,1,0
0,2,0
0,2,0
0,1,0
0,1,0
0,2,0
0,2,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,0
0,1,0
0,0,1
0,0,0
0,1,1
0,1,0
0,0,0
0,0,0
0,1,0
0,1,1
0,0,0
0,1,0
0,1,1
0,1,0
0,1,1
0,0,0
0,0,1
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,2,0
0,3,1
0,2,0
0,1,0
0,0,1
0,0,0
0,1,1
0,1,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,1
0,1,0
0,2,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,1
0,0,0
1,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,1
0,0,0
0,0,0
0,1,1
0,2,1
0,1,1
1,1,1
0,1,1
1,1,1
0,0,0
0,0,1
0,0,0
1,0,0
0,0,1
0,1,0
1,1,0
2,1,1
3,1,1
2,1,0
1,0,0
1,1,0
1,0,0
0,0,1
0,0,1
1,1,0
1,0,0
0,0,0
0,0,0
0,1,0
0,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,1,1
0,1,0
0,1,1
0,0,1
0,1,1
0,1,1
0,1,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,1,0
0,1,0
0,0,0
0,0,1
0,0,1
0,0,1
0,1,0
1,1,0
0,0,0
0,0,0
0,1,0
0,1,1
0,0,0
0,0,0
0,1,1
0,1,1
0,0,1
0,2,1
0,2,1
0,0,1
0,1,0
0,0,1
0,0,0
0,1,1
0,1,1
1,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,1,0
0,0,0
0,0,1
0,0,0
0,1,1
0,1,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,1
0,0,1
0,0,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,0
0,1,2
0,1,0
0,2,0
0,1,1
0,0,0
0,0,0
0,1,1
0,2,1
0,1,0
0,0,0
0,1,0
0,0,0
0,3,1
0,4,1
0,2,0
0,1,1
0,1,0
0,0,0
0,1,0
0,0,0
1,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,1
0,0,0
0,2,0
0,3,0
0,0,0
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,1
0,1,0
0,1,1
0,0,1
0,1,1
0,0,0
0,0,0
0,1,1
0,2,1
0,2,0
0,1,0
0,1,0
0,2,0
0,2,0
0,1,0
0,2,1
0,0,0
0,1,0
0,3,1
0,1,1
0,1,0
0,1,0
0,2,2
0,1,1
0,2,0
0,3,0
0,1,0
0,3,0
0,1,1
0,2,0
0,3,0
0,5,0
0,6,0
0,3,0
0,3,0
0,3,0
0,5,0
0,9,0
0,8,1
0,4,0
0,5,1
0,4,0
0,4,0
0,3,1
0,2,0
0,2,0
0,1,0
0,0,1
0,0,1
0,2,1
0,2,0
0,1,1
0,2,0
0,1,1
0,1,0
0,1,1
0,1,1
0,0,0
0,0,0
0,1,0
0,1,2
0,1,0
0,0,0
0,1,0
0,0,0
1,1,1
0,1,1
0,1,0
0,2,1
0,1,0
0,0,1
0,0,0
0,0,1
0,1,2
0,2,3
0,4,1
0,3,1
0,1,2
0,0,2
0,0,3
0,1,1
0,0,1
0,0,3
0,1,3
0,1,1
0,0,0
0,1,0
0,2,0
0,1,2
0,1,1
0,1,0
0,1,0
0,1,0
0,0,1
0,2,1
0,2,0
0,2,0
0,1,0
0,2,1
0,2,1
1,0,0
0,0,1
0,0,1
0,1,1
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
0,1,0
0,2,0
0,1,1
0,0,0
0,1,0
0,0,0
0,1,1
0,3,1
0,3,0
0,1,1
0,1,0
0,1,1
0,2,0
0,1,0
0,1,0
0,2,0
0,1,1
0,0,0
0,0,1
0,1,0
0,1,0
0,0,1
0,0,0
1,0,1
0,0,0
0,0,0
0,1,1
0,1,1
0,1,1
0,0,1
0,0,0
0,1,0
0,0,0
0,1,0
0,2,0
0,2,0
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,0
0,0,1
0,0,1
0,0,0
1,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,0
0,2,1
0,1,0
0,1,0
0,2,0
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,1
0,2,0
0,1,0
0,1,1
0,2,0
0,3,0
0,2,0
0,0,0
0,2,0
0,2,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,1
0,2,0
0,2,0
0,1,1
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
1,1,1
0,2,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,1
0,1,2
0,1,0
0,1,0
0,1,0
0,0,1
0,2,0
0,1,0
0,0,0
0,0,1
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,1,0
0,0,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,0,1
0,0,0
0,0,0
0,1,0
0,0,0
0,1,1
0,1,0
0,0,0
0,2,1
0,2,1
0,0,0
0,1,0
0,1,0
0,0,1
0,2,0
0,1,0
0,0,1
0,1,1
0,1,0
0,2,0
0,0,1
0,2,0
0,2,0
0,0,1
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,2,0
0,2,0
0,1,1
0,0,0
0,1,1
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,1
1,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
1,1,1
0,0,1
0,1,0
1,1,0
0,1,0
2,0,1
2,0,0
3,1,1
3,1,0
0,1,0
1,2,0
3,1,0
4,0,0
3,1,0
1,0,0
4,1,0
2,2,0
1,1,1
1,0,0
4,0,0
4,0,0
2,0,0
2,0,0
2,1,1
1,1,0
1,2,0
2,1,0
3,0,0
4,1,0
7,1,0
11,1,0
3,2,0
7,2,0
7,1,0
4,1,0
13,0,0
10,1,0
13,0,1
14,1,0
10,3,0
5,2,1
2,1,1
6,1,0
1,0,0
1,0,0
1,0,0
2,0,0
0,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,2,0
1,1,0
1,0,0
0,0,1
1,0,0
1,0,0
0,0,0
1,1,0
0,1,0
0,1,0
2,1,0
0,1,0
0,0,0
0,2,0
0,2,1
1,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,2
0,1,0
0,1,1
0,1,0
0,1,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,0,0
1,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,2,1
0,2,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,0,0
0,0,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,2,0
0,2,1
0,1,1
0,0,0
0,1,0
0,2,1
0,0,0
0,1,1
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,3,0
0,3,0
0,1,0
0,5,0
0,5,0
0,1,0
0,3,0
0,3,1
0,3,1
0,3,1
0,1,0
0,3,0
0,2,0
0,0,0
0,1,1
0,2,0
0,2,1
0,2,0
0,0,2
0,0,0
0,1,0
1,0,1
0,0,0
0,0,0
0,2,1
0,4,1
0,4,1
1,2,0
0,4,0
0,4,0
0,4,0
0,3,0
0,6,0
0,7,0
0,10,0
0,12,0
0,8,1
0,5,1
0,8,1
0,8,1
0,16,1
0,13,3
0,6,3
0,7,3
0,8,10
0,3,2
0,4,2
0,4,2
0,3,1
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,2
0,0,0
0,0,1
0,1,1
0,0,1
0,1,2
0,2,1
0,0,1
0,1,1
0,2,3
0,0,4
0,1,2
0,1,1
0,0,6
0,0,15
0,0,18
0,2,21
0,1,19
0,1,17
0,1,14
0,2,11
0,1,12
0,2,10
1,1,3
1,2,4
0,3,0
0,2,2
0,1,1
0,0,1
0,1,0
0,1,1
0,1,0
0,0,0
0,2,0
0,2,2
0,0,1
0,1,2
0,0,1
0,1,0
0,1,0
0,0,1
0,1,1
0,2,1
0,1,2
0,1,1
0,0,1
0,0,2
0,0,0
0,0,1
0,0,1
0,0,1
0,0,0
0,1,0
0,2,1
0,1,1
0,1,0
0,1,0
0,0,0
0,1,1
0,1,1
0,0,0
0,1,0
0,1,0
0,2,1
0,2,1
0,1,0
0,0,1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,1
0,2,0
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,2,0
0,2,0
0,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,1
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,2,1
0,1,1
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,1,0
1,1,1
0,0,0
0,0,0
0,1,0
0,2,1
0,1,0
0,0,0
0,1,0
0,1,1
0,0,0
0,0,0
0,1,0
0,2,0
0,2,0
0,0,0
0,1,1
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,0
0,0,1
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
1,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,2,0
0,2,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,1
0,1,0
0,0,0
0,1,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,1,0
0,0,1
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,1,1
0,1,0
0,0,1
0,0,0
1,1,0
0,2,0
0,1,1
0,0,0
0,2,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,2,0
0,2,0
0,2,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,0,0
0,1,0
0,2,0
0,2,0
0,1,0
0,0,0
0,1,0
0,2,1
0,1,0
0,0,0
0,0,1
0,0,1
0,0,0
0,1,0
0,2,0
1,1,1
0,1,1
0,1,0
0,0,0
0,0,1
0,1,0
0,1,1
0,1,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,2,1
0,2,1
0,1,0
0,1,0
0,0,1
0,0,0
0,0,0
0,0,1
0,1,0
0,2,0
1,2,0
1,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
0,1,1
1,0,0
1,0,0
1,1,0
0,1,1
0,0,0
0,0,0
1,0,1
0,0,1
0,0,0
0,0,0
0,0,0
1,1,0
1,2,0
0,1,0
1,2,0
1,2,0
4,1,0
4,0,0
1,0,0
3,1,0
3,2,0
0,1,1
4,0,0
6,0,0
7,1,0
9,1,0
2,1,0
4,1,0
2,0,0
2,1,0
0,2,0
0,1,0
0,0,0
1,1,0
0,1,0
0,0,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,1
0,0,0
0,0,0
1,0,0
0,0,0
0,1,0
0,1,0
1,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,1
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,3,0
0,2,0
0,0,0
1,0,0
0,0,0
0,1,0
1,0,0
0,0,1
0,0,0
0,1,0
0,2,0
1,2,0
0,1,0
0,1,0
0,0,1
0,1,1
0,1,1
0,0,1
0,0,1
0,1,0
0,2,1
0,1,0
0,0,0
1,1,0
1,1,1
0,0,0
0,0,0
0,0,0
1,2,0
0,3,1
0,1,0
0,1,0
0,2,1
0,2,0
0,0,0
0,0,1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,2,0
1,0,1
0,0,0
0,0,0
0,1,1
0,0,1
0,1,0
1,2,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,1,0
1,3,0
0,1,1
0,2,0
0,1,0
0,1,0
0,2,0
0,1,0
0,2,0
0,2,0
0,4,0
0,1,0
0,3,0
0,2,0
0,4,0
0,6,0
0,1,0
0,4,0
0,1,1
0,7,1
0,10,0
0,7,1
0,2,0
0,5,0
0,5,0
0,4,1
0,1,0
0,3,1
1,5,1
0,3,1
0,1,1
0,1,0
0,1,0
0,2,0
0,1,0
0,1,0
0,0,1
0,2,0
0,1,0
0,0,1
0,1,0
0,0,4
0,1,4
1,1,7
0,0,5
0,1,6
0,1,4
0,0,4
0,1,3
0,1,0
0,0,0
0,1,0
0,2,2
0,0,0
0,0,0
0,0,0
0,1,0
0,2,0
0,2,0
0,1,1
0,0,0
0,1,0
0,2,1
0,2,1
0,1,0
0,1,1
0,0,1
0,1,0
0,0,1
0,1,0
0,1,0
0,0,1
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
0,2,0
0,2,1
0,1,0
0,1,0
0,1,0
0,1,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,1,0
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1,1,0
1,0,1
0,1,0
0,2,0
0,1,1
0,1,0
0,2,0
0,2,0
0,1,0
0,2,1
0,3,1
0,2,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
1,1,0
0,2,0
0,1,0
0,1,0
0,1,1
1,1,0
0,2,0
0,0,0
0,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,2,0
0,0,0
0,2,0
0,2,0
1,2,0
0,1,1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
1,0,0
0,0,1
0,1,0
0,0,0
0,0,0
0,0,1
0,0,0
0,1,0
0,3,1
1,1,0
0,1,0
0,2,0
1,2,1
0,1,0
0,0,0
0,2,0
0,2,0
0,1,0
0,2,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,2,0
0,2,0
0,1,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,1
0,2,0
0,2,0
0,1,0
0,1,0
0,2,0
0,2,0
0,0,0
1,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,1
0,1,0
0,2,1
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,1,1
0,0,0
0,0,0
0,1,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,1
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,0,1
0,0,0
0,1,0
0,2,0
0,2,0
0,1,0
0,0,0
0,2,0
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,0
0,1,1
0,1,0
0,1,0
0,0,0
0,1,0
1,2,1
0,0,1
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,1,0
0,2,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,2,0
0,0,1
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,3,1
0,2,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,2,0
0,2,1
0,1,0
1,0,0
0,0,1
0,1,0
0,3,0
0,4,1
0,1,1
0,1,0
0,2,0
0,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,2,1
0,2,0
0,1,0
0,0,0
0,1,0
0,1,0
1,1,0
0,1,0
0,1,0
1,0,0
0,1,0
1,1,0
0,0,1
1,1,0
0,2,0
1,1,1
0,0,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,2,0
0,1,1
0,0,0
0,0,0
0,1,1
0,1,0
0,0,0
0,0,0
0,0,0
0,1,1
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
1,0,0
0,1,0
1,2,0
1,2,0
0,1,1
1,1,0
0,1,0
0,0,0
1,1,0
1,1,0
0,1,0
0,1,0
2,2,1
1,1,0
1,1,0
1,2,0
2,1,0
2,0,0
6,0,0
4,0,1
2,0,0
10,1,0
10,1,0
1,0,0
5,0,0
4,0,0
4,0,0
6,0,1
13,0,1
12,0,0
18,0,0
2,0,0
10,0,0
5,0,0
3,1,1
1,0,0
0,0,0
1,1,0
2,2,0
0,1,0
1,0,0
2,0,0
1,0,0
0,0,1
0,0,0
0,0,0
1,0,0
0,2,0
1,1,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,0
0,1,1
0,2,1
1,2,0
1,1,0
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,1
0,0,1
0,1,0
0,1,1
0,1,0
1,1,0
0,0,0
0,3,0
0,4,0
0,1,1
0,3,0
0,3,0
0,2,0
0,3,0
0,0,0
0,2,0
0,0,0
0,2,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,1,1
0,0,1
0,3,0
1,2,1
0,1,0
0,1,1
0,5,2
0,7,2
0,3,1
1,5,0
0,3,0
